iter	Passed	Remaining
0	0	67
1	1	64
2	1	63
3	2	58
4	2	56
5	3	54
6	4	53
7	4	53
8	5	52
9	5	52
10	6	52
11	7	52
12	7	51
13	8	51
14	9	51
15	9	50
16	10	50
17	10	49
18	11	48
19	12	48
20	12	47
21	13	46
22	13	46
23	14	45
24	14	44
25	15	44
26	16	43
27	16	43
28	17	42
29	17	41
30	18	41
31	19	41
32	19	40
33	20	39
34	20	38
35	21	38
36	22	37
37	22	36
38	23	36
39	23	35
40	24	35
41	24	34
42	25	33
43	25	33
44	26	32
45	27	31
46	27	31
47	28	30
48	28	30
49	29	29
50	30	29
51	30	28
52	31	27
53	31	27
54	32	26
55	32	25
56	33	25
57	34	24
58	34	24
59	35	23
60	36	23
61	36	22
62	37	21
63	37	21
64	38	20
65	39	20
66	39	19
67	40	18
68	40	18
69	41	17
70	41	17
71	42	16
72	43	16
73	43	15
74	44	14
75	45	14
76	45	13
77	46	13
78	47	12
79	47	11
80	48	11
81	48	10
82	49	10
83	49	9
84	50	8
85	51	8
86	51	7
87	52	7
88	52	6
89	53	5
90	53	5
91	54	4
92	55	4
93	55	3
94	56	2
95	56	2
96	57	1
97	57	1
98	58	0
99	59	0
